"Displays all available commands","Відображає всі доступні команди"
Guernsey,Гернсі
Guinea,Гвінея
Guinea-Bissau,Гвінея-Бісау
Guyana,Гаяна
Haiti,Гаіті
"Heard Island and McDonald Islands","Острів Херд і Макдональд"
Honduras,Гондурас
"Hong Kong",Гонконг
Hungary,Угорщина
Iceland,Ісландія
India,Індія
Indonesia,Індонезія
Iran,Іран
Iraq,Ірак
Ireland,Ірландія
"Isle of Man","Острів Мен"
Israel,Ізраїль
Italy,Італія
"Ivory Coast",Кот-д'Івуар
Jamaica,Ямайка
Japan,Японія
Jersey,Джерсі
Jordan,Йорданія
Kazakhstan,Казахстан
Kenya,Кенія
Kiribati,Кірибаті
Kosovo,Косово
Kuwait,Кувейт
Kyrgyzstan,Киргизстан
Laos,Лаос
Latvia,Латвія
Lebanon,Ліван
Lesotho,Лесото
Liberia,Ліберія
Libya,Лівія
Liechtenstein,Ліхтенштейн
Lithuania,Литва
Luxembourg,Люксембург
Macao,Макао
Macedonia,Македонія
Madagascar,Мадагаскар
Malawi,Малаві
Malaysia,Малайзія
Maldives,Мальдіви
Mali,Малі
Malta,Мальта
"Marshall Islands","Маршалові острови"
Martinique,Мартініка
Mauritania,Мавританія
Mauritius,Маврикій
Mayotte,Майотта
Mexico,Мексика
Micronesia,Мікронезія
Moldova,Молдова
Monaco,Монако
Mongolia,Монголія
Montenegro,Чорногорія
Montserrat,Монтсеррат
Morocco,Марокко
Mozambique,Мозамбік
Myanmar,М'янма
Namibia,Намібія
Nauru,Науру
Nepal,Непал
Netherlands,Нідерланди
"New Caledonia","Нова Каледонія"
"New Zealand","Нова Зеландія"
Nicaragua,Нікарагуа
Niger,Нігер
Nigeria,Нігерія
Niue,Ниуэ
"Norfolk Island","Острів Норфолк"
"North Korea","Північна Корея"
"Northern Mariana Islands","Північні Маріанські острови"
Norway,Норвегія
Oman,Оман
Pakistan,Пакістан
Palau,Палау
"Palestinian Territory",Палестина
Panama,Панама
"Papua New Guinea","Папуа-Нова Гвінея"
Paraguay,Парагвай
Peru,Перу
Philippines,Філіпіни
Pitcairn,Піткерн
Poland,Польща
Portugal,Португалія
"Puerto Rico",Пуерто-Ріко
Qatar,Катар
"Republic of the Congo",Конго
Reunion,Реюньйон
Romania,Румунія
Russia,Росія
Rwanda,Руанда
"Saint Barthelemy",Сен-Бартелемі
"Saint Helena","Острів Святої Єлени"
"Saint Kitts and Nevis","Сент-Кіттс і Невіс"
"Saint Lucia",Сент-Люсія
"Saint Martin",Сен-Мартін
"Saint Pierre and Miquelon","Сен-П'єр і Мікелон"
"Saint Vincent and the Grenadines","Сент-Вінсент і Гренадіни"
Samoa,Самоа
"San Marino",Сан-Маріно
"Sao Tome and Principe","Сан-Томе і Принсіпі"
"Saudi Arabia","Саудівська Аравія"
Senegal,Сенегал
Serbia,Сербія
Seychelles,Сейшели
"Sierra Leone","Сіера Леон"
Singapore,Сінгапур
"Sint Maarten",Сінт-Маартен
Slovakia,Словакія
Slovenia,Словенія
"Solomon Islands","Соломонові острови"
Somalia,Сомалі
"South Africa","Південна Африка"
"South Georgia and the South Sandwich Islands","Південна Джорджія та Південні Сандвічеві острови"
"South Korea","Південна Корея"
"South Sudan","Південний Судан"
Spain,Іспанія
"Sri Lanka","Шрі Ланка"
Sudan,Судан
Suriname,Сурінам
"Svalbard and Jan Mayen","Шпіцберген і Ян-Маєн"
Swaziland,Свазіленд
Sweden,Швеція
Switzerland,Швейцарія
Syria,Сирія
Taiwan,Тайвань
Tajikistan,Таджикістан
Tanzania,Танзанія
Thailand,Таїланд
Togo,Того
Tokelau,Токелау
Tonga,Тонга
"Trinidad and Tobago","Трінідад і Табаго"
Tunisia,Туніс
Turkey,Туреччина
Turkmenistan,Туркменістан
"Turks and Caicos Islands","Острови Теркс і Кайкос"
Tuvalu,Тувалу
"U.S. Virgin Islands","Американські Віргінські острови"
Uganda,Уганда
Ukraine,Україна
"United Arab Emirates","Об'єднані Арабські Емірати"
"United Kingdom",Великобританія
"United States",США
"United States Minor Outlying Islands","Малі Віддалені острови США"
Uruguay,Уругвай
Uzbekistan,Узбекістан
Vanuatu,Вануату
Vatican,Ватікан
Venezuela,Венесуела
Vietnam,В'єтнам
"Wallis and Futuna","Уолліс і Футуна"
"Western Sahara","Західна Сахара"
Yemen,Ємен
Zambia,Замбія
Zimbabwe,Зімбабве
Country,Країна
State,Область
City,Місто
Address,Адреса
"Additional address","Додаткова адреса"
Phone,Телефон
"Post code/ZIP","Поштовий код/ZIP"
"First name",Iм’я
"Middle name","По батькові"
"Last name",Прізвище
Company,Компанія
Fax,Факс
"United States Dollar","Долар США"
Cent,Цент
Dollar,Долар
"United Arab Emirates Dirham","Дірхам ОАЕ"
Fils,Філ
Dirham,Дірхам
"Afghan Afghani",Афгані
Pul,Пул
Afghani,Афгані
"Netherlands Antillean Guilder","Гульден Нідерландських Антильських островів"
Guilder,Гульден
"Angolan Kwanza","Ангольська кванза"
Cêntimo,Сентім
Kwanza,Кванза
"Argentine Peso","Аргентинське песо"
Centavo,Сентаво
Peso,Песо
"Australian Dollar","Австралійський долар"
"Aruban Florin","Флорін Аруби"
"Azerbaijanian Manat","Азербайджанський манат"
Qəpik,Копік
"New Manat",Манат
"Bosnia-Herzegovina Convertible Mark","Марка БосніЇ та Герцеговини"
Fening,Фенінг
"Convertible Marka",Марка
"Barbadian Dollar","Барбадоський долар"
"Bangladeshi Taka","Бангладешська така"
Paisa,Пайса
Taka,Така
"Bulgarian lev","Болгарський лев"
Stotinka,Стотінка
Lev,Лев
"Bahraini Dinar","Бахрейнський динар"
Dinar,Динар
"Burundian Franc","Бурундійський франк"
Centime,Сантім
Franc,Франк
"Bermudan Dollar","Бермудський долар"
"Brunei Dollar","Брунейський долар"
Sen,Сен
"Bolivian Boliviano","Болівійський болівіано"
Bolivianos,Болівіано
"Brazilian Real","Бразильський реал"
Reais,Реал
"Bahamian Dollar","Багамський долар"
"Bhutanese Ngultrum","Бутанійський нгултрум"
Chetrum,Четрум
Ngultrum,Нгултрум
"Botswanan Pula","Ботсванська пула"
Thebe,Зебе
Pulas,Пула
"Belarusian ruble","Білоруський рубль"
Ruble,Рубль
"Belize Dollar","Белізький долар"
"Canadian Dollar","Канадійський долар"
"Congolese Franc","Конголезський франк"
"Swiss Franc","Швейцарський франк"
Rappen,Рапен
"Chilean Peso","Чилійське песо"
"Chinese Yuan Renminbi","Китайський юань"
Fen,Фен
Yuan,Юань
"Colombian Peso","Колумбійський песо"
"Costa Rican Colón","Костариканський колон"
Céntimo,Сантім
Colón,Колон
"Cuban Peso","Кубинський песо"
"Cape Verdean Escudo","Ескудо Кабо-Верде"
Escudo,Ескудо
"Czech Republic Koruna","Чеська крона"
Haléř,Гелер
Koruna,Крона
"Djiboutian Franc","Джибутійський франк"
"Danish Krone","Дацька крона"
Øre,Оро
Kroner,Крона
"Dominican Peso","Домініканський песо"
"Algerian Dinar","Алжирський динар"
Santeem,Сантім
"Estonian Kroon","Естонська крона"
Sent,Цент
Krooni,Крона
"Egyptian Pound","Єгипетський фунт"
Piastr,Піастр
Pound,Фунт
"Eritrean Nakfa","Еритрейська накфа"
Nakfa,Накфа
"Ethiopian Birr","Ефіопський бір"
Santim,Сантім
Birr,Бір
Euro,Євро
"Fijian Dollar","Долар Фіджі"
"Falkland Islands Pound","Фолклендський фунт"
Penny,Пенні
"British Pound Sterling","Британський фунт стерлінгів"
"Ghanaian Cedi","Ганський седі"
Pesewa,Песева
Cedi,Седі
"Gibraltar Pound","Гібралтарський фунт"
"Gambian Dalasi","Гамбійський даласі"
Butut,Бутут
Dalasis,Даласі
"Guinean Franc","Гвінейський франк"
"Guatemalan Quetzal","Гватемальський кетцаль"
Quetzales,Кетцаль
"Guyanaese Dollar","Суринамський долар"
"Hong Kong Dollar","Гонконгський долар"
"Honduran Lempira","Гондураська лемпіра"
Lempiras,Лемпіра
"Croatian Kuna","Хорватська куна"
Lipa,Ліпа
Kuna,Куна
"Haitian Gourde","Гаїтянський гурд"
Gourde,Гурд
"Hungarian Forint","Угорський форинт"
Forint,Форинт
"Indonesian Rupiah","Індонезійська рупія"
Rupiahs,Рупія
"Israeli New Shekel","Ізраїльський шекель"
Agora,Агора
"New Shekels",Шекель
"Indian Rupee","Індійська рупія"
Rupee,Рупія
"Iranian Rial","Іранський ріал"
Rial,Ріал
Toman,Томан
"Icelandic Króna","Ісландська крона"
Eyrir,Еврір
Kronur,Крона
"Jamaican Dollar","Ямайський долар"
"Jordanian Dinar","Йорданський динар"
"Japanese Yen","Японська ієна"
Yen,Єна
"Kenyan Shilling","Кенійський шилінг"
Shilling,Шилінг
"Kyrgyzstani Som","Киргизський сом"
Som,Сом
Tyiyn,Тин
"Comorian Franc","Коморський франк"
"South Korean Won","Південнокорейська вона"
Jeon,Джеон
Won,Вон
"Kuwaiti Dinar","Кувейтський динар"
"Cayman Islands Dollar","Долар Соломонових Островів"
"Kazakhstani tenge","Казахський тенге"
Tiyn,Тійн
Tenge,Тенге
"Laotian Kip","Лаоський кіп"
Att,Ат
Kips,Кіп
"Lebanese Pound","Ліванський фунт"
Piastre,Піастр
"Sri Lanka Rupee","Шрі-Ланкійська рупія"
"Liberian Dollar","Ліберійський долар"
"Lesotho Loti","Лоті Лесото"
Sente,Цент
Loti,Лоті
"Lithuanian Litas","Литовський літ"
Centas,Цент
Litai,Літ
"Latvian Lats","Латвійський лат"
Santims,Сантім
Lati,Лат
"Libyan Dinar","Лівійський динар"
"Moroccan Dirham","Мароканський дирхам"
Santimat,Сантім
Dirhams,Дирхам
"Moldovan leu","Молдовський лей"
Bani,Бані
Lei,Лей
"Macedonian denar","Македонський динар"
Deni,Дені
Denari,Денар
"Myanma Kyat","Бірманський кят"
Pya,Пя
Kyat,Кят
"Mongolian Tugrik","Монгольський тугрик"
Möngö,Монго
Tugriks,Тугрік
"Macanese Pataca","Патака Макао"
Avo,Аво
Pataca,Патака
"Mauritanian Ouguiya","Мавританський угій"
Khoums,Хаум
Ouguiya,Угій
"Maltese Pound","Мальтійський фунт"
"Mauritian Rupee","Маврикійська рупія"
"Mexican Peso","Мексиканський песо"
"Malaysian Ringgit","Малайзійський рінгіт"
Ringgits,Рінгіт
"Mozambican Metical","Мозамбіцький метикал"
Metical,Метикал
"Namibian Dollar","Намібійський долар"
"Nigerian Naira","Нігерійська найра"
Kobo,Кобо
Naira,Найра
"Nicaraguan Cordoba Oro","Нікарагуанський кордоба"
Cordoba,Кордоба
"Norwegian Krone","Норвезька крона"
Krone,Крона
"Nepalese Rupee","Непальська рупія"
"New Zealand Dollar","Новозеландський долар"
"Panamanian Balboa","Панамське бальбоа"
Centésimo,Сантім
Balboa,Бальбоа
"Peruvian Nuevo Sol","Перуанський соль"
"Nuevos Sole",Соль
"Papua New Guinean Kina","Кіна Папуа Нової Гвінеї"
Toea,Тое
Kina,Кіна
"Philippine Peso","Філіппінське песо"
"Pakistani Rupee","Пакістанська рупія"
"Polish Złoty","Польський злотий"
Grosz,Грош
Złotych,Злотий
"Paraguayan Guarani","Парагвайський гуарані"
Guarani,Гуарані
"Qatari Rial","Катарський ріал"
"Rhodesian Dollar","Родезійський долар"
"Romanian Leu","Румунський лей"
Ban,Бан
Leu,Леї
"Serbian Dinar","Сербський динар"
Para,Пара
Dinars,Динар
"Russian Ruble","Російський рубль"
Kopek,Копійка
"Saudi Riyal","Саудівський ріал"
Hallallah,Халлах
Riyals,Ріал
"Solomon Islands Dollar","Долар Соломонових Островів"
"Seychellois Rupee","Сейшельська рупія"
"Old Sudanese Dinar","Суданський динар"
"Swedish Krona","Шведська крона"
Öre,Ере
Kronor,Крона
"Singapore Dollar","Сінгапурський долар"
"Saint Helena Pound","Фунт Святої Єлени"
"Sierra Leonean Leone","Леоне Сьєрра-Леоне"
Leone,Леон
"Somali Shilling","Сомалійський шилінг"
"Surinamese Dollar","Суринамський долар"
"São Tomé and Príncipe Dobra","Добра Сан-Томе і Прінсіпі"
Dobra,Добра
"Syrian Pound","Сирійський фунт"
"Swazi Lilangeni","Свазілендський лілангені"
Lilangeni,Лілангені
"Thai Baht","Тайський бат"
Satang,Сатанг
Baht,Бат
"Tunisian Dinar","Туніський динар"
Millime,Міліме
"Tongan Paʻanga","Тонгійська панга"
Senit,Сеніт
Paʻanga,Панга
"Turkish Lira","Турецька ліра"
Kurus,Курус
Lira,Ліра
"Trinidad and Tobago Dollar","Долар Тринідаду і Тобаго"
"New Taiwan Dollar","Тайванський долар"
"New Dollar",Долар
"Tanzanian Shilling","Танзанійський шилінг"
Senti,Сенті
"Ukrainian Hryvnia","Українська гривня"
Kopiyka,Копійка
Hryvnia,Гривня
"Ugandan Shilling","Угандійський шилінг"
"Uruguayan Peso","Уругвайський песо"
"Venezuelan Bolívar Fuerte","Венесуельський болівар"
"Bolivares Fuerte",Болівар
"Vietnamese Dong","В'єтнамський донг"
Hà,Ха
Dong,Донг
"Vanuatu Vatu","Вануатська вату"
Vatu,Вату
"Samoan Tala","Самоанський тала"
Sene,Сене
Tala,Тала
"CFA Franc BEAC","Центральноафриканський франк"
"East Caribbean Dollar","Східно-карибський долар"
"CFA Franc BCEAO","Центральноафриканський франк"
"CFP Franc",Франк
"Yemeni Rial","Єменський ріал"
"South African Rand","Південно-африканський ранд"
Rand,Ранд
"Zambian Kwacha","Замбійська квача"
Ngwee,Нгі
Kwacha,Квача
"Recent orders","Останні замовлення"
"Recent cart items","Останні елементи кошику"
"Recent transactions","Останні транзакції"
"Active price rules","Активні правила цін"
Summary,Резюме
"Recent reviews","Останні відгуки"
"Recent users","Останні користувачі"
"Recent events","Останні події"
Thumbnail,Мініатюра
"Trim and resize to exact width and height. Parameters: two integers, width and height, separated by comma","Обрізати і змінити до точної ширина та висота. Параметри: два цілих числа, ширина та висота, розділені комами"
Crop,Кадрування
"Crop a portion of image from x1, y1 to x2, y2. Parameters: Four integers, separated by comma","Обрізати частину зображення з x1, y1 до x2, y2. Параметри: чотири цілих числа, розділених комою"
Resize,"Зміна розміру"
"Resize to fixed width and height. Parameters: Two integers, width and height, separated by comma","Змінити розмір до фіксована ширина та висота. Параметри: два цілих числа, ширина та висота, розділені комами"
"Fit to width","Вмістити за шириної"
"Shrink to the specified width while maintaining proportion. Parameters: Integer","Стиснути до вказаної ширина зберігаючи пропорції. Параметри: ціле число"
"Fit to height","Вмістити за висотою"
"Shrink to the specified height while maintaining proportion. Parameters: Integer","Стиснути до вказаної висоти зберігаючи пропорції. Параметри: ціле число"
50X50,"50 Х 50"
100X100,"100 Х 100"
150X150,150Х150
200X200,"200 Х 200"
300X300,300Х300
400X400,400Х400
1400X500,"1400 Х 500"
Afar,Афарська
Abkhazian,Абхазька
Avestan,Авестійська
Afrikaans,Африканська
Akan,Аканська
Amharic,Амхарська
Arabic,Арабська
Assamese,Ассамська
Asturian,Астурська
Avar,Аварська
Aymara,Аймара
Azerbaijani,Азербайджанська
Bashkir,Башкирська
Belarusian,Білоруська
Bulgarian,Болгарська
Bihari,Біхарі
Bislama,Біслама
Bambara,Бамбара
Bengali,Бенгальська
Tibetan,Тибетська
Breton,Бретонська
Bosnian,Боснійська
Catalan,Каталонська
Chechen,Чеченська
Chamorro,Чаморро
Corsican,Корсиканська
Cree,Крі
Czech,Чеська
"Old Slavonic",Старослов'янська
Chuvash,Чуваська
Welsh,Валлійська
Danish,Датська
German,Німецька
Maldivian,Мальдівська
Bhutani,Бутанська
Ewe,Еве
Greek,Грецька
English,Англійська
Esperanto,Есперанто
Spanish,Іспанська
Estonian,Естонська
Basque,Баскська
Persian,Перська
Fulah,Фула
Finnish,Фінська
Filipino,Філіпінська
Faeroese,Фарерська
French,Французька
Frisian,Фризька
Irish,Ірландська
"Scots Gaelic",Гаельська
Galician,Галісійська
Gujarati,Гуджараті
Manx,Менкська
Hausa,Хауса
Hebrew,Іврит
Hindi,Хінді
"Hiri Motu",Хірі-моту
Croatian,Хорватська
"Haitian Creole","Гаїтянська креольська"
Hungarian,Угорська
Armenian,Вірменська
Herero,Гереро
Interlingua,Інтерлінгва
Indonesian,Індонезійська
Interlingue,Інтерлінгве
Igbo,Ігбо
Inupiak,Інупяк
Icelandic,Ісландська
Italian,Італійська
Inuktitut,Інуктітут
Japanese,Японська
Javanese,Яванська
Georgian,Грузинська
Kongo,Конго
Kikuyu,Кікуйю
Kwanyama,Кваньяма
Kazakh,Казахська
Greenlandic,Гренландська
Cambodian,Камбоджійська
Kannada,Каннадська
Korean,Корейська
Kanuri,Канурі
Kashmiri,Кашмірська
Kurdish,Курдська
Komi,Комі
Cornish,Корнійська
Kyrgyz,Киргизька
Latin,Латинська
Luxembourgish,Люксембурзька
Luganda,Лугандійська
Lingala,Лінгала
Laothian,Лаоська
Lithuanian,Литовська
Latvian,Латвійська
Malagasy,Малагасійська
Marshallese,Маршальська
Māori,Маорі
Macedonian,Македонська
Malayalam,Малаялам
Mongolian,Монгольська
Moldavian,Молдавська
Marathi,Маратхі
Malay,Малайська
Maltese,Мальтійська
Burmese,Бірманська
"North Ndebele","Північна Ндебелє"
Nepali,Непальська
Ndonga,Ндонга
Dutch,Голандська
"Norwegian Bokmål","Норвезька (Букмол)"
"Norwegian Nynorsk","Норвезька (Нюнорськ)"
"South Ndebele","Південна Ндебелє"
Navajo,Навахо
Chichewa,Чічева
Occitan,Окситанська
Oromo,Оромо
Oriya,Орійська
Ossetian,Осетинська
Punjabi,Панджабі
Pali,Палі
Polish,Польська
Pashto,Пушту
Portuguese,Португальська
Quechua,Кечуа
Rhaeto-Romance,Ретороманська
Kirundi,Кірунді
Romanian,Румунська
Russian,Російська
Kinyarwanda,Кіньяруанда
Sanskrit,Санскрит
Sardinian,Сардинська
Scots,Шотландська
Sindhi,Сіндхі
"Northern Sami",Північно-самська
Sango,Санго
Serbo-Croatian,Сербсько-хорватська
Sinhala,Сінхала
Slovak,Словацька
Slovenian,Словенська
Samoan,Самоанська
Shona,Шона
Somali,Сомалійська
Albanian,Албанська
Serbian,Сербська
Siswati,Сісваті
Sesotho,Сесото
Sudanese,Суданська
Swedish,Шведська
Swahili,Суахілі
Tamil,Тамільська
Telugu,Телугу
Tajik,Таджицька
Thai,Тайська
Tigrinya,Тигринья
Turkmen,Туркменська
Tagalog,Тагальська
Setswana,Сетсвана
Turkish,Турецька
Tsonga,Тсонга
Tatar,Татарська
Twi,Тві
Tahitian,Таїтянська
Uyghur,Уйгурська
Ukrainian,Українська
Urdu,Урду
Uzbek,Узбецька
Venda,Венда
Vietnamese,В’єтнамська
Wolof,Волоф
Xhosa,Кхоса
Yiddish,Ідиш
Yoruba,Йоруба
Zhuang,Чжуанська
"Chinese, Simplified","Китайська спрощена"
"Chinese, Traditional","Китайська традиційна"
Zulu,Зулуська
Jquery,JQuery
"jQuery JavaScript Library","jQuery JavaScript бібліотека"
Cookie,Cookie
"A simple, lightweight JavaScript API for handling browser cookies","Простий API JavaScript для обробки файлів cookie"
"jQuery Match Height","jQuery Match Height"
"A responsive equal heights plugin for jQuery","Рівна висота для елементів"
"jQuery UI","jQuery UI"
"jQuery user interface library","Бібліотека інтерфейса jQuery"
"Font Awesome","Font Awesome"
"The iconic font and CSS toolkit","CSS шрифти"
"HTML5 Shiv","HTML5 Shiv"
"The HTML5 Shiv enables use of HTML5 sectioning elements in legacy Internet Explorer and provides basic HTML5 styling for Internet Explorer 6-9, Safari 4.x (and iPhone 3.x), and Firefox 3.x.","Підтримка HTML5 в старих браузерах"
Respond,Respond
"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)","Підтримка CSS3 Media Queries"
Bootstrap,Bootstrap
"HTML, CSS, and JavaScript framework for developing responsive, mobile first layouts","HTML, CSS, JavaScript фреймворк"
"Bootstrap Select","Bootstrap Select"
"A jQuery plugin that utilizes Bootstrap's dropdown.js to style and bring additional functionality to standard select elements","Стилізація випадаючих списків"
"To admin: new order","До адміністратора: нове замовлення"
"To customer: new order","До клієнта: нове замовлення"
"To customer: order has been updated","До клієнта: замовлення було оновлено"
"To admin: new user","До адміністратора: новий користувач"
"To user: account has been created","Для користувача: було створено обліковий запис"
"To user: reset password","До користувача: скидання пароля"
"To user: password has been changed","До користувача: пароль змінено"
"Admin: access","Адмін: доступ"
"Address: access","Адреса: доступ"
"Address: delete","Адреса: видаляти"
"Cart items: access","Кошик: доступ"
"Cart items: delete","Кошик: видаляти"
"Dashboard: access","Панель керування: доступ"
"Dashboard: edit","Панель керування: редагувати"
"Product: access","Товар: доступ"
"Product: add","Товар: додавати"
"Product: edit","Товар: редагувати"
"Product: delete","Товар: видаляти"
"Product class: access","Клас товару: доступ"
"Product class: add","Клас товару: додавати"
"Product class: edit","Клас товару: редагувати"
"Product class: delete","Клас товару: видаляти"
"Price rule: access","Правило ціни: доступ"
"Price rule: add","Правило ціни: додавати"
"Price rule: edit","Правило ціни: редагувати"
"Price rule: delete","Правило ціни: видаляти"
"Page: access","Сторінка: доступ"
"Page: add","Сторінка: додавати"
"Page: edit","Сторінка: редагувати"
"Page: delete","Сторінка: видаляти"
"Review: access","Відгук: доступ"
"Review: add","Відгук: додавати"
"Review: edit","Відгук: редагувати"
"Review: delete","Відгук: видаляти"
"Category: access","Категорія: доступ"
"Category: add","Категорія: додавати"
"Category: edit","Категорія: редагувати"
"Category: delete","Категорія: видаляти"
"Category group: access","Група категорій: доступ"
"Category group: add","Група категорій: додавати"
"Category group: edit","Група категорій: редагувати"
"Category group: delete","Група категорій: видаляти"
"Collection: access","Колекція: доступ"
"Collection: add","Колекція: додавати"
"Collection: edit","Колекція: редагувати"
"Collection: delete","Колекція: видаляти"
"Collection item: access","Елемент колекції: доступ"
"Collection item: add","Елемент колекції: додавати"
