"Displays all available commands","Отображает все доступные команды"
"Product brand category ID","ID категории торговой марки товара"
Afghanistan,Афганистан
"Aland Islands","Аландские острова"
Albania,Албания
Algeria,Алжир
"American Samoa","Американское Самоа"
Andorra,Андорра
Angola,Ангола
Anguilla,Ангилья
Antarctica,Антарктика
"Antigua and Barbuda","Антигуа и Барбуда"
Argentina,Аргентина
Armenia,Армения
Aruba,Аруба
Australia,Австралия
Austria,Австрия
Azerbaijan,Азербайджан
Bahamas,"Багамские острова"
Bahrain,Бахрейн
Bangladesh,Бангладеш
Barbados,Барбадос
Belarus,Беларусь
Belgium,Бельгия
Belize,Белиз
Benin,Бенин
Bermuda,"Бермудские острова"
Bhutan,Бутан
Bolivia,Боливия
"Bonaire, Saint Eustatius and Saba","Бонайре, Сен-Эстатиус и Саба"
"Bosnia and Herzegovina","Босния и Герцеговина"
Botswana,Ботсвана
"Bouvet Island","Остров Буве"
Brazil,Бразилия
"British Indian Ocean Territory","Британская территория в Индийском океане"
"British Virgin Islands","Британские Виргинские острова"
Brunei,Бруней
Bulgaria,Болгария
"Burkina Faso",Буркина-Фасо
Burundi,Бурунди
Cambodia,Камбоджа
Cameroon,Камерун
Canada,Канада
"Cape Verde",Кабо-Верде
"Cayman Islands","Каймановы острова"
"Central African Republic","Центральноафриканская Республика"
Chad,Чад
Chile,Чили
China,Китай
"Christmas Island","Остров Рождества"
"Cocos Islands","Кокосовые острова"
Colombia,Колумбия
Comoros,"Коморские острова"
"Cook Islands","острова Кука"
"Costa Rica",Коста-Рика
Croatia,Хорватия
Cuba,Куба
Curacao,Кюрасао
Cyprus,Кипр
"Czech Republic","Чешская Республика"
"Democratic Republic of the Congo","Демократическая Республика Конго"
Denmark,Дания
Djibouti,Джибути
Dominica,Доминика
"Dominican Republic","Доминиканская Республика"
"East Timor","Восточный Тимор"
Ecuador,Эквадор
Egypt,Египет
"El Salvador",Сальвадор
"Equatorial Guinea","Экваториальная Гвинея"
Eritrea,Эритрея
Estonia,Эстония
Ethiopia,Эфиопия
"Falkland Islands","Фолклендские острова"
"Faroe Islands","Фарерские острова"
Fiji,Фиджи
Finland,Финляндия
France,Франция
"French Guiana","Французская Гвиана"
"French Polynesia","Французская Полинезия"
"French Southern Territories","Французские Южные территории"
Gabon,Габон
Gambia,Гамбия
Georgia,Грузия
Germany,Германия
Ghana,Гана
Gibraltar,Гибралтар
Greece,Греция
Greenland,Гренландия
Grenada,Гренада
Guadeloupe,Гваделупа
Guam,Гуам
Guatemala,Гватемала
Guernsey,Гернси
Guinea,Гвинея
Guinea-Bissau,Гвинея-Бисау
Guyana,Гайана
Haiti,Гаити
"Heard Island and McDonald Islands","Остров Херд и острова Макдональд"
Honduras,Гондурас
"Hong Kong",Гонконг
Hungary,Венгрия
Iceland,Исландия
India,Индия
Indonesia,Индонезия
Iran,Иран
Iraq,Ирак
Ireland,Ирландия
"Isle of Man","Остров Мэн"
Israel,Израиль
Italy,Италия
"Ivory Coast",Кот-д’Ивуар
Jamaica,Ямайка
Japan,Япония
Jersey,Джерси
Jordan,Иордания
Kazakhstan,Казахстан
Kenya,Кения
Kiribati,Кирибати
Kosovo,Косово
Kuwait,Кувейт
Kyrgyzstan,Киргизия
Laos,Лаос
Latvia,Латвия
Lebanon,Ливан
Lesotho,Лесото
Liberia,Либерия
Libya,Ливия
Liechtenstein,Лихтенштейн
Lithuania,Литва
Luxembourg,Люксембург
Macao,Макао
Macedonia,Македония
Madagascar,Мадагаскар
Malawi,Малави
Malaysia,Малайзия
Maldives,"Мальдивские острова"
Mali,Мали
Malta,Мальта
"Marshall Islands","Маршалловы острова"
Martinique,Мартиника
Mauritania,Мавритания
Mauritius,Маврикий
Mayotte,Майотта
Mexico,Мексика
Micronesia,Микронезия
Moldova,Молдавия
Monaco,Монако
Mongolia,Монголия
Montenegro,Черногория
Montserrat,Монтсеррат
Morocco,Морокко
Mozambique,Мозамбик
Myanmar,Мьянма
Namibia,Намибия
Nauru,Науру
Nepal,Непал
Netherlands,Нидерланды
"New Caledonia","Новая Каледония"
"New Zealand","Новая Зеландия"
Nicaragua,Никарагуа
Niger,Нигер
Nigeria,Нигерия
Niue,Ниуэ
"Norfolk Island","Остров Норфолк"
"North Korea","Северная Корея"
"Northern Mariana Islands","Северные Марианские острова"
Norway,Норвегия
Oman,Оман
Pakistan,Пакистан
Palau,Палау
"Palestinian Territory","Палестинской территории"
Panama,Панама
"Papua New Guinea","Папуа-Новая Гвинея"
Paraguay,Парагвай
Peru,Перу
Philippines,Филиппины
Pitcairn,Питкэрн
Poland,Польша
Portugal,Португалия
"Puerto Rico",Пуэрто-Рико
Qatar,Катар
"Republic of the Congo","Республика Конго"
Reunion,Реюньон
Romania,Румыния
Russia,Россия
Rwanda,Руанда
"Saint Barthelemy",Сен-Бартелеми
"Saint Helena","Остров Святой Елены"
"Saint Kitts and Nevis","Сент-Китс и Невис"
"Saint Lucia",Сент-Люсия
"Saint Martin",Сен-Мартен
"Saint Pierre and Miquelon","Сен-Пьер и Микелон"
"Saint Vincent and the Grenadines","Сент-Винсент и Гренадины"
Samoa,Самоа
"San Marino",Сан-Марино
"Sao Tome and Principe","Сан-Томе и Принсипи"
"Saudi Arabia","Саудовская Аравия"
Senegal,Сенегал
Serbia,Сербия
Seychelles,"Сейшельские острова"
"Sierra Leone",Сьерра-Леоне
Singapore,Сингапур
"Sint Maarten",Синт-Мартен
Slovakia,Словакия
Slovenia,Словения
"Solomon Islands","Соломоновы острова"
Somalia,Сомали
"South Africa",ЮАР
"South Georgia and the South Sandwich Islands","Южная Георгия и Южные Сандвичевы острова"
"South Korea","Южная Корея"
"South Sudan","Южный Судан"
Spain,Испания
"Sri Lanka",Шри-Ланка
Sudan,Судан
Suriname,Суринам
"Svalbard and Jan Mayen","Шпицберген и Ян Майен"
Swaziland,Свазиленд
Sweden,Швеция
Switzerland,Швейцария
Syria,Сирия
Taiwan,Тайвань
Tajikistan,Таджикистан
Tanzania,Танзания
Thailand,Таиланд
Togo,Того
Tokelau,Токелау
Tonga,Тонга
"Trinidad and Tobago","Тринидад и Тобаго"
Tunisia,Тунис
Turkey,Турция
Turkmenistan,Туркменистан
"Turks and Caicos Islands","Острова Теркс и Кайкос"
Tuvalu,Тувалу
"U.S. Virgin Islands","Американские Виргинские острова"
Uganda,Уганда
Ukraine,Украина
"United Arab Emirates","Объединённые Арабские Эмираты"
"United Kingdom",Великобритания
"United States",США
"United States Minor Outlying Islands","Малые Удаленные Острова США"
Uruguay,Уругвай
Uzbekistan,Узбекистан
Vanuatu,Вануату
Vatican,Ватикан
Venezuela,Венесуэла
Vietnam,Вьетнам
"Wallis and Futuna","Уоллис и Футуна"
"Western Sahara","Западная Сахара"
Yemen,Йемен
Zambia,Замбия
Zimbabwe,Зимбабве
Country,Страна
State,Область
City,Город
Address,Адрес
"Additional address","Дополнительный адрес"
Phone,Телефон
"Post code/ZIP","Почтовый код"
"First name",Имя
"Middle name",Отчество
"Last name",Фамилия
Company,Компания
Fax,Факс
"United States Dollar","Доллар США"
Cent,Цент
Dollar,Доллар
"United Arab Emirates Dirham","Дирхам ОАЭ"
Fils,Фил
Dirham,Дирхам
"Afghan Afghani","Афганский афгани"
Pul,Пул
Afghani,Афгани
"Netherlands Antillean Guilder","Гульден Нидерландских Антильских островов"
Guilder,Гульден
"Angolan Kwanza","Ангольская кванза"
Cêntimo,Сантим
Kwanza,Кванза
"Argentine Peso","Аргентинское песо"
Centavo,Сентаво
Peso,Песо
"Australian Dollar","Австралийский доллар"
"Aruban Florin","Арубанский флорин"
"Azerbaijanian Manat","Азербайджанский манат"
Qəpik,Кепик
"New Manat","Новый манат"
"Bosnia-Herzegovina Convertible Mark","Марка Боснии и Герцеговины"
Fening,Фенинг
"Convertible Marka","Конвертируемая марка"
"Barbadian Dollar","Барбадосский доллар"
"Bangladeshi Taka","Бангладешская така"
Paisa,Пайс
Taka,Така
"Bulgarian lev","Болгарский лев"
Stotinka,Стотинка
Lev,Лев
"Bahraini Dinar","Бахрейнский динар"
Dinar,Динар
"Burundian Franc","Бурундийский франк"
Centime,Сантим
Franc,Франк
"Bermudan Dollar","Бермудский доллар"
"Brunei Dollar","Брунейский доллар"
Sen,Сен
"Bolivian Boliviano","Боливийский боливиано"
Bolivianos,Боливиано
"Brazilian Real","Бразильский реал"
Reais,Реал
"Bahamian Dollar","Багамский доллар"
"Bhutanese Ngultrum","Бутанский нгултрум"
Chetrum,Четрум
Ngultrum,Нгултрум
"Botswanan Pula","Ботсванская пула"
Thebe,Тхебе
Pulas,Пул
"Belarusian ruble","Беларусский рубль"
Ruble,Рубль
"Belize Dollar","Белизский доллар"
"Canadian Dollar","Канадский доллар"
"Congolese Franc","Конголезский франк"
"Swiss Franc","Швейцарский франк"
Rappen,Раппен
"Chilean Peso","Чилийский песо"
"Chinese Yuan Renminbi","Китайский юань"
Fen,Фен
Yuan,Юань
"Colombian Peso","Колумбийский песо"
"Costa Rican Colón","Костариканский колон"
Céntimo,Сантим
Colón,Колон
"Cuban Peso","Кубинское песо"
"Cape Verdean Escudo","Эскудо Кабо-Верде"
Escudo,Эскудо
"Czech Republic Koruna","Чешская крона"
Haléř,Галер
Koruna,Крона
"Djiboutian Franc","Джибутийский франк"
"Danish Krone","Датская крона"
Øre,Эре
Kroner,Крона
"Dominican Peso","Доминиканское песо"
"Algerian Dinar","Алжирский динар"
Santeem,Сантим
"Estonian Kroon","Эстонская крона"
Sent,Цент
Krooni,Круни
"Egyptian Pound","Египетский фунт"
Piastr,Пиастр
Pound,Фунт
"Eritrean Nakfa","Эритрейская накфа"
Nakfa,Накфа
"Ethiopian Birr","Эфиопский быр"
Santim,Сантим
Birr,Быр
Euro,Евро
"Fijian Dollar","Доллар Фиджи"
"Falkland Islands Pound","Фунт Фолклендских островов"
Penny,Пенни
"British Pound Sterling","Британский фунт стерлингов"
"Ghanaian Cedi","Ганский седи"
Pesewa,Песева
Cedi,Седи
"Gibraltar Pound","Гибралтарский фунт"
"Gambian Dalasi","Гамбийский даласи"
Butut,Бутут
Dalasis,Даласис
"Guinean Franc","Гвинейский франк"
"Guatemalan Quetzal","Гватемальский кетсаль"
Quetzales,Кетцаль
"Guyanaese Dollar","Гайянский доллар"
"Hong Kong Dollar","Гонконгский доллар"
"Honduran Lempira","Гондурасская лемпира"
Lempiras,Лемпира
"Croatian Kuna","Хорватская куна"
Lipa,Липа
Kuna,Куна
"Haitian Gourde","Гаитянский гурд"
Gourde,Гурд
"Hungarian Forint","Венгерский форинт"
Forint,Форинт
"Indonesian Rupiah","Индонезийская рупия"
Rupiahs,Рупий
"Israeli New Shekel","Израильский шекель"
Agora,Агора
"New Shekels","Новые шекели"
"Indian Rupee","Индийская рупия"
Rupee,Рупия
"Iranian Rial","Иранский риал"
Rial,Риал
Toman,Томан
"Icelandic Króna","Исландская крона"
Eyrir,Эйрир
Kronur,Крон
"Jamaican Dollar","Ямайский доллар"
"Jordanian Dinar","Йорданский динар"
"Japanese Yen","Японская иена"
Yen,Йен
"Kenyan Shilling","Кенийский шиллинг"
Shilling,Шиллинг
"Kyrgyzstani Som","Киргизский сом"
Som,Сом
Tyiyn,Тыйын
"Comorian Franc","Коморский франк"
"South Korean Won","Южнокорейский вон"
Jeon,Чон
Won,Вон
"Kuwaiti Dinar","Кувейтский динар"
"Cayman Islands Dollar","Доллар Каймановых островов"
"Kazakhstani tenge","Казахстанский тенге"
Tiyn,Тиын
Tenge,Тенге
"Laotian Kip","Лаосский кип"
Att,Ат
Kips,Кип
"Lebanese Pound","Ливанский фунт"
Piastre,Пиастр
"Sri Lanka Rupee","Шри-ланкийская рупия"
"Liberian Dollar","Либерийский доллар"
"Lesotho Loti","Лоти Лесото"
Sente,Цент
Loti,Лоти
"Lithuanian Litas","Литовский лит"
Centas,Цент
Litai,Лит
"Latvian Lats","Латвийский лат"
Santims,Сантим
Lati,Лат
"Libyan Dinar","Ливийский динар"
"Moroccan Dirham","Марроканский дирхам"
Santimat,Сантим
Dirhams,Дирхам
"Moldovan leu","Молдавский лей"
Bani,Бан
Lei,Лей
"Macedonian denar","Македонский денар"
Deni,Ден
Denari,Денар
"Myanma Kyat","Мьянманский кьят"
Pya,Пя
Kyat,Кьят
"Mongolian Tugrik","Монгольский тугрик"
Möngö,Монго
Tugriks,Тугрик
"Macanese Pataca","Патака Макао"
Avo,Аво
Pataca,Патака
"Mauritanian Ouguiya","Мавританский угий"
Khoums,Кумs
Ouguiya,Угий
"Maltese Pound","Мальтийский фунт"
"Mauritian Rupee","Маврикийская рупия"
"Mexican Peso","Мексиканский песо"
"Malaysian Ringgit","Малайзийский рингит"
Ringgits,Рингит
"Mozambican Metical","Мозамбикский метикал"
Metical,Метикал
"Namibian Dollar","Намибийский доллар"
"Nigerian Naira","Нигерийская найра"
Kobo,Кобо
Naira,Наира
"Nicaraguan Cordoba Oro","Никарагуанская кордоба"
Cordoba,Кордоба
"Norwegian Krone","Норвежская крона"
Krone,Крона
"Nepalese Rupee","Непальская рупия"
"New Zealand Dollar","Новозеландский доллар"
"Panamanian Balboa","Панамский бальбоа"
Centésimo,Сентесим
Balboa,Бальбоа
"Peruvian Nuevo Sol","Перуанский соль"
"Nuevos Sole",Соль
"Papua New Guinean Kina","Кина Папуа-Новой Гвинеи"
Toea,Тое
Kina,Кина
"Philippine Peso","Филиппинский песо"
"Pakistani Rupee","Пакистанская рупия"
"Polish Złoty","Польский злотый"
Grosz,Грош
Złotych,Злотый
"Paraguayan Guarani","Парагвайский гуарани"
Guarani,Гуарани
"Qatari Rial","Катарский риал"
"Rhodesian Dollar","Родезийский доллар"
"Romanian Leu","Румынский лей"
Ban,Бан
Leu,Лей
"Serbian Dinar","Сербский динар"
Para,Пара
Dinars,Динар
"Russian Ruble","Российский рубль"
Kopek,Копейка
"Saudi Riyal","Саудовский реал"
Hallallah,Халала
Riyals,Риал
"Solomon Islands Dollar","Доллар Соломоновых островов"
"Seychellois Rupee","Сейшельская рупия"
"Old Sudanese Dinar","Суданский динар"
"Swedish Krona","Шведская крона"
Öre,Эре
Kronor,Крон
"Singapore Dollar","Сингапурский доллар"
"Saint Helena Pound","Фунт острова Святой Елены"
"Sierra Leonean Leone","Сьерра-леонский леоне"
Leone,Леоне
"Somali Shilling","Сомалийский шиллинг"
"Surinamese Dollar","Суринамский доллар"
"São Tomé and Príncipe Dobra","Добра Сан-Томе и Принсипи"
Dobra,Добра
"Syrian Pound","Сирийский фунт"
"Swazi Lilangeni","Свазилендский лилангени"
Lilangeni,Лилангени
"Thai Baht","Тайский бат"
Satang,Сатанг
Baht,Бат
"Tunisian Dinar","Тунисский динар"
Millime,Миллим
"Tongan Paʻanga","Тонганская паанга"
Senit,Сенит
Paʻanga,Паанга
"Turkish Lira","Турецкая лира"
Kurus,Куру
Lira,Лира
"Trinidad and Tobago Dollar","Доллар Тринидада и Тобаго"
"New Taiwan Dollar","Тайваньский доллар"
"New Dollar",Доллар
"Tanzanian Shilling","Танзанийский шиллинг"
Senti,Сенти
"Ukrainian Hryvnia","Украинская гривна"
Kopiyka,Копейка
Hryvnia,Гривна
"Ugandan Shilling","Угандский шиллинг"
"Uruguayan Peso","Уругвайское песо"
"Venezuelan Bolívar Fuerte","Венесуэльский боливар"
"Bolivares Fuerte","Боливийский фуэрте"
"Vietnamese Dong","Вьетнамский донг"
Hà,Ха
Dong,Донг
"Vanuatu Vatu","Вануатский вату"
Vatu,Вату
"Samoan Tala","Самоанский тала"
Sene,Сене
Tala,Тала
"CFA Franc BEAC","Франк КФА ВЕАС"
"East Caribbean Dollar","Восточно-карибский доллар"
"CFA Franc BCEAO","Франк КФА ВЕАС"
"CFP Franc","Франк КФП"
"Yemeni Rial","Йеменский риал"
"South African Rand","Южноафриканский ранд"
Rand,Ранд
"Zambian Kwacha","Замбийская квача"
Ngwee,Нгви
Kwacha,Квача
"Recent orders","Недавние заказы"
"Recent cart items","Последние товары корзины"
"Recent transactions","Недавние транзакции"
"Active price rules","Активные правила цен"
Summary,Сводка
"Recent reviews","Последние обзоры"
"Recent users","Последние пользователи"
"Recent events","Недавние события"
Thumbnail,Миниатюра
"Trim and resize to exact width and height. Parameters: two integers, width and height, separated by comma","Обрезать и изменить размер до точной ширины и высоты. Параметры: два целых числа, ширина и высота, разделённые запятой"
Crop,Обрезка
"Crop a portion of image from x1, y1 to x2, y2. Parameters: Four integers, separated by comma","Вырезать часть изображения от x1, y1 до x2, y2. Параметры: 4 целых числа, разделённых запятыми"
Resize,"Изменение размера"
"Resize to fixed width and height. Parameters: Two integers, width and height, separated by comma","Изменить размер до фиксированной ширины и высоты. Два целых числа, разделённых запятыми"
"Fit to width","Уместить по ширине"
"Shrink to the specified width while maintaining proportion. Parameters: Integer","Сжать до указанной ширины, сохраняя пропорции. Параметры: целое число"
"Fit to height","Подогнать высоту"
"Shrink to the specified height while maintaining proportion. Parameters: Integer","Сжать до указанной высоты, сохраняя пропорции. Параметры: целое число"
50X50,"50 X 50"
100X100,"100 X 100"
150X150,"150 X 150"
200X200,"200 X 200"
300X300,"300 X 300"
400X400,"400 X 400"
1400X500,"1400 X 500"
Afar,Афарский
Abkhazian,Абхазский
Avestan,Авестийский
Afrikaans,Африкаанс
Akan,Акан
Amharic,Амхарский
Arabic,Арабский
Assamese,Ассамский
Asturian,Астурийский
Avar,Аварский
Aymara,Аймара
Azerbaijani,Азербайджанский
Bashkir,Башкирский
Belarusian,Беларусский
Bulgarian,Болгарский
Bihari,Бихари
Bislama,Бислама
Bambara,Бамбарийский
Bengali,Бенгальский
Tibetan,Тибетский
Breton,Бретонский
Bosnian,Боснийский
Catalan,Каталанский
Chechen,Чеченский
Chamorro,Чаморро
Corsican,Корсиканский
Cree,Криийский
Czech,Чешский
"Old Slavonic",Старославянский
Chuvash,Чувашский
Welsh,Валлийский
Danish,Датский
German,Немецкий
Maldivian,Мальдивский
Bhutani,Бутани
Ewe,Эве
Greek,Греческий
English,Английский
Esperanto,Эсперанто
Spanish,Испанский
Estonian,Эстонский
Basque,Баскский
Persian,Персидский
Fulah,Фулах
Finnish,Финский
Filipino,Филиппинский
Faeroese,Фарерский
French,Французский
Frisian,Фризский
Irish,Ирландский
"Scots Gaelic","Шотландский Гэльский"
Galician,Галисийский
Gujarati,Гуджарати
Manx,Манкс
Hausa,Хауса
Hebrew,Иврит
Hindi,Хинди
"Hiri Motu",Хиримоту
Croatian,Хорватский
"Haitian Creole",Гаитянский
Hungarian,Венгерский
Armenian,Армянский
Herero,Гереро
Interlingua,Интерлингва
Indonesian,Индонезийский
Interlingue,Интерлингве
Igbo,Игбо
Inupiak,Инупиак
Icelandic,Исландский
Italian,Итальянский
Inuktitut,Инуктитут
Japanese,Японский
Javanese,Яванский
Georgian,Грузинский
Kongo,Конголезский
Kikuyu,Кикуйу
Kwanyama,Кваньяма
Kazakh,Казахский
Greenlandic,Гренландский
Cambodian,Камбоджийский
Kannada,Каннадский
Korean,Корейский
Kanuri,Канури
Kashmiri,Кашмири
Kurdish,Курдский
Komi,Коми
Cornish,Корнский
Kyrgyz,Киргизский
Latin,Латинский
Luxembourgish,Люксембургский
Luganda,Лугандский
Lingala,Лингала
Laothian,Лаосский
Lithuanian,Литовский
Latvian,Латышский
Malagasy,Малагасийский
Marshallese,Маршальский
Māori,Маори
Macedonian,Македонский
Malayalam,Малайялам
Mongolian,Монгольский
Moldavian,Молдавский
Marathi,Марати
Malay,Малайский
Maltese,Мальтийский
Burmese,Бирманский
"North Ndebele","Северный ндебеле"
Nepali,Непальский
Ndonga,Ндонга
Dutch,Голландский
"Norwegian Bokmål","Норвежский букмол"
"Norwegian Nynorsk",Новонорвежский
"South Ndebele","Южный ндебеле"
Navajo,Навахо
Chichewa,Чичева
Occitan,Окситанский
Oromo,Оромский
Oriya,Ория
Ossetian,Осетинский
Punjabi,Пенджабский
Pali,Пали
Polish,Польский
Pashto,Пушту
Portuguese,Португальский
Quechua,Кечуа
Rhaeto-Romance,Ретороманский
Kirundi,Кирунди
Romanian,Румынский
Russian,Русский
Kinyarwanda,Киньяруанда
Sanskrit,Санскрит
Sardinian,Сардинский
Scots,Шотландский
Sindhi,Синдхи
"Northern Sami",Северносаамский
Sango,Санго
Serbo-Croatian,Сербо-хорватский
Sinhala,Сингальский
Slovak,Словацкий
Slovenian,Словенский
Samoan,Самоа
Shona,Шона
Somali,Сомалийский
Albanian,Албанский
Serbian,Сербский
Siswati,Сисвати
Sesotho,Сесото
Sudanese,Суданский
Swedish,Шведский
Swahili,Суахили
Tamil,Тамильский
Telugu,Телугу
Tajik,Таджикский
Thai,Тайский
Tigrinya,Тигринья
Turkmen,Туркменский
Tagalog,Тагальский
Setswana,Сетсвана
Turkish,Турецкий
Tsonga,Тсонга
Tatar,Татарском
Twi,Тви
Tahitian,Таитянский
Uyghur,Уйгурский
Ukrainian,Украинский
Urdu,Урду
Uzbek,Узбекский
Venda,Венда
Vietnamese,Вьетнамский
Wolof,Волоф
Xhosa,Ксоза
Yiddish,Идиш
Yoruba,Йоруба
Zhuang,Чжуанский
"Chinese, Simplified","Китайский упрощённый"
"Chinese, Traditional","Китайский традиционный"
Zulu,Зулусский
Jquery,JQuery
"jQuery JavaScript Library","Библиотека jQuery JavaScript"
Cookie,Cookie
"A simple, lightweight JavaScript API for handling browser cookies","Простой, легкий JavaScript API для обработки файлов cookie браузера"
"jQuery Match Height","jQuery Match Height"
"A responsive equal heights plugin for jQuery","Плагин jQuery для установки равной высоты элементов"
"jQuery UI","jQuery UI"
"jQuery user interface library","Элементы интерфейса jQuery"
"Font Awesome","Font Awesome"
"The iconic font and CSS toolkit","Иконические CSS шрифты"
"HTML5 Shiv","HTML5 Shiv"
"The HTML5 Shiv enables use of HTML5 sectioning elements in legacy Internet Explorer and provides basic HTML5 styling for Internet Explorer 6-9, Safari 4.x (and iPhone 3.x), and Firefox 3.x.","Позволяет использовать HTML5 в старых версиях браузеров"
Respond,Respond
"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)","Быстрый и лёгкий полифил для CSS3 Media Queries"
Bootstrap,Bootstrap
"HTML, CSS, and JavaScript framework for developing responsive, mobile first layouts","CSS фреймворк для создания отзывчивых, mobile-first страниц"
"Bootstrap Select","Bootstrap Select"
"A jQuery plugin that utilizes Bootstrap's dropdown.js to style and bring additional functionality to standard select elements","jQuery плагин для стилизации select элементов. Предназначен для работы с фреймворком Bootstrap"
"To admin: new order","К администратору: новый заказ"
"To customer: new order","К клиенту: новый заказ"
"To customer: order has been updated","К клиенту: заказ был обновлён"
"To admin: new user","К администратору: новый пользователь"
"To user: account has been created","К пользователю: учётная запись создана"
"To user: reset password","К пользователю: сброс пароля"
"To user: password has been changed","К пользователю: пароль изменён"
"Admin: access","Администратор: доступ"
"Address: access","Адрес: доступ"
"Address: delete","Адрес: удаление"
"Cart items: access","Содержимое корзины: доступ"
"Cart items: delete","Содержимое корзины: удаление"
"Dashboard: access","Панель управления: доступ"
"Dashboard: edit","Панель управления: настраивать"
"Product: access","Товар: доступ"
"Product: add","Товар: добавлять"
"Product: edit","Товар: редактировать"
"Product: delete","Товар: удалять"
"Product class: access","Класс товара: доступ"
"Product class: add","Класс товара: добавлять"
"Product class: edit","Класс товара: редактировать"
"Product class: delete","Класс товара: удалять"
"Price rule: access","Правило цен: доступ"
"Price rule: add","Правило цен: добавлять"
"Price rule: edit","Правило цен: редактировать"
"Price rule: delete","Правило цен: удалять"
"Page: access","Страница: доступ"
"Page: add","Страница: добавлять"
"Page: edit","Страница: редактировать"
"Page: delete","Страница: удалять"
"Review: access","Отзыв: доступ"
"Review: add","Отзыв: добавлять"
"Review: edit","Отзыв: редактировать"
"Review: delete","Отзыв: удалять"
"Category: access","Категория: доступ"
"Category: add","Категория: добавлять"
"Category: edit","Категория: редактировать"
"Category: delete","Категория: удалять"
"Category group: access","Группа категорий: доступ"
"Category group: add","Группа категорий: добавлять"
"Category group: edit","Группа категорий: редактировать"
"Category group: delete","Группа категорий: удалять"
"Collection: access","Коллекция: доступ"
"Collection: add","Коллекция: добавлять"
"Collection: edit","Коллекция: редактировать"
"Collection: delete","Коллекция: удалять"
"Collection item: access","Элементы коллекции: доступ"
"Collection item: add","Элемент коллекции: добавлять"
